tempo_s,Entrada_x,Saida_ideal,Saida_desvio_zero,Saida_sensibilidade,Saida_real,Erro_total
0.718393300,0.120999999,0.120999999,0.620999992,0.145199999,0.645200014,0.524200022
0.955089200,0.163000003,0.163000003,0.662999988,0.195600003,0.695599973,0.532599986
1.113978200,0.207000002,0.207000002,0.707000017,0.248400003,0.748399973,0.541400015
1.278096900,0.248999998,0.248999998,0.749000013,0.298799992,0.798799992,0.549799979
1.445325200,0.291999996,0.291999996,0.791999996,0.350400001,0.850399971,0.558399975
1.634765800,0.333999991,0.333999991,0.833999991,0.400799990,0.900799990,0.566799998
1.794314600,0.377000004,0.377000004,0.876999974,0.452399999,0.952400029,0.575399995
1.958917300,0.419999987,0.419999987,0.920000017,0.504000008,1.003999949,0.583999991
2.120844700,0.463999987,0.463999987,0.963999987,0.556800008,1.056800008,0.592800021
2.314204100,0.505999982,0.505999982,1.006000042,0.607200027,1.107200027,0.601199985
2.473460200,0.549000025,0.549000025,1.049000025,0.658800006,1.158800006,0.609799981
2.626340900,0.591000021,0.591000021,1.090999961,0.709200025,1.209200025,0.618200004
2.774213900,0.634000003,0.634000003,1.133999944,0.760800004,1.260800004,0.626800001
2.934193400,0.676999986,0.676999986,1.177000046,0.812399983,1.312399983,0.635399997
3.093640000,0.720000029,0.720000029,1.220000029,0.864000022,1.363999963,0.643999994
3.247762000,0.762000024,0.762000024,1.261999965,0.914399981,1.414399981,0.652400017
3.401653800,0.804000020,0.804000020,1.304000020,0.964800000,1.464800000,0.660799980
3.568561900,0.846000016,0.846000016,1.345999956,1.015200019,1.515200019,0.669200003
3.720828900,0.888000011,0.888000011,1.388000011,1.065600038,1.565600038,0.677600026
3.877704700,0.930999994,0.930999994,1.430999994,1.117200017,1.617200017,0.686200023
4.037344600,0.975000024,0.975000024,1.475000024,1.169999957,1.669999957,0.694999993
4.191015100,1.016000032,1.016000032,1.516000032,1.219200015,1.719200015,0.703199983
4.362574000,1.059000015,1.059000015,1.559000015,1.270799994,1.770799994,0.711799979
4.538107200,1.101999998,1.101999998,1.601999998,1.322399974,1.822399974,0.720399976
4.707916900,1.144000053,1.144000053,1.644000053,1.372799993,1.872799993,0.728799999
4.871097000,1.187000036,1.187000036,1.687000036,1.424399972,1.924399972,0.737399995
5.048857100,1.228999972,1.228999972,1.728999972,1.474799991,1.974799991,0.745800018
5.213508600,1.269999981,1.269999981,1.769999981,1.524000049,2.023999929,0.754000008
5.379346800,1.312000036,1.312000036,1.812000036,1.574399948,2.074399948,0.762399971
5.558118600,1.355000019,1.355000019,1.855000019,1.626000047,2.125999928,0.771000028
5.723993700,1.396000028,1.396000028,1.896000028,1.675199986,2.175199986,0.779200017
5.899461200,1.440000057,1.440000057,1.940000057,1.728000045,2.227999926,0.787999988
6.081710400,1.481999993,1.481999993,1.981999993,1.778399944,2.278399944,0.796400011
6.262722400,1.524999976,1.524999976,2.025000095,1.830000043,2.329999924,0.805000007
6.454140200,1.569000006,1.569000006,2.069000006,1.882799983,2.382800102,0.813799977
6.607300200,1.611999989,1.611999989,2.111999989,1.934399962,2.434400082,0.822399974
6.782245200,1.654000044,1.654000044,2.154000044,1.984799981,2.484800100,0.830799997
6.936803200,1.697000027,1.697000027,2.197000027,2.036400080,2.536400080,0.839399993
7.089638300,1.740000010,1.740000010,2.240000010,2.088000059,2.588000059,0.847999990
7.242630500,1.782999992,1.782999992,2.282999992,2.139600039,2.639600039,0.856599987
7.419675500,1.825999975,1.825999975,2.325999975,2.191200018,2.691200018,0.865199983
7.586416400,1.868000031,1.868000031,2.368000031,2.241600037,2.741600037,0.873600006
7.745217600,1.911000013,1.911000013,2.411000013,2.293200016,2.793200016,0.882200003
7.898447000,1.952999949,1.952999949,2.453000069,2.343600035,2.843600035,0.890600026
8.061225000,1.995000005,1.995000005,2.494999886,2.394000053,2.894000053,0.898999989
8.240173000,2.036000013,2.036000013,2.536000013,2.443200111,2.943200111,0.907199979
8.416079600,2.078999996,2.078999996,2.578999996,2.494800091,2.994800091,0.915799975
8.636505000,2.121000051,2.121000051,2.621000051,2.545200109,3.045200109,0.924199998
8.812136600,2.163000107,2.163000107,2.663000107,2.595599890,3.095599890,0.932600021
8.971911900,2.204999924,2.204999924,2.704999924,2.645999908,3.145999908,0.940999985
9.163040500,2.246999979,2.246999979,2.746999979,2.696399927,3.196399927,0.949400008
9.348723200,2.289999962,2.289999962,2.789999962,2.747999907,3.247999907,0.958000004
9.517031900,2.332000017,2.332000017,2.832000017,2.798399925,3.298399925,0.966400027
9.672319500,2.374000072,2.374000072,2.874000072,2.848799944,3.348799944,0.974799991
9.825207400,2.417999983,2.417999983,2.917999983,2.901599884,3.401599884,0.983600020
9.992268600,2.460000038,2.460000038,2.960000038,2.951999903,3.451999903,0.991999984
10.146865100,2.502000093,2.502000093,3.002000093,3.002399921,3.502399921,1.000399947
10.298828800,2.543999910,2.543999910,3.043999910,3.052799940,3.552799940,1.008800030
10.452223900,2.585999966,2.585999966,3.085999966,3.103199959,3.603199959,1.017199993
10.623949900,2.628999949,2.628999949,3.128999949,3.154799938,3.654799938,1.025799990
10.775714600,2.671000004,2.671000004,3.171000004,3.205199957,3.705199957,1.034199953
10.931930300,2.713999987,2.713999987,3.213999987,3.256799936,3.756799936,1.042799950
11.089052200,2.756000042,2.756000042,3.256000042,3.307199955,3.807199955,1.051200032
11.243074200,2.799999952,2.799999952,3.299999952,3.359999895,3.859999895,1.059999943
11.404944700,2.842999935,2.842999935,3.342999935,3.411600113,3.911600113,1.068600059
