tempo,x_referencia,y_instrumento,condicao
1.048908400,0.120999999,0.630927265,condicao_1
1.354400600,0.163000003,0.678578973,condicao_1
1.725166000,0.202999994,0.730550587,condicao_1
2.026664900,0.244000003,0.790301502,condicao_1
2.457221300,0.286000013,0.830571294,condicao_1
2.913433800,0.326999992,0.909106731,condicao_1
3.263091700,0.368999988,0.943234324,condicao_1
3.637656700,0.409999996,0.975007236,condicao_1
4.109447100,0.451000005,1.024579644,condicao_1
4.515318400,0.490999997,1.070100904,condicao_1
4.977629300,0.532000005,1.122493982,condicao_1
5.404242900,0.573000014,1.178262591,condicao_1
5.887615600,0.614000022,1.242078304,condicao_1
6.323308800,0.654999971,1.281997919,condicao_1
6.798458000,0.695999980,1.315607905,condicao_1
7.167392800,0.736000001,1.393040419,condicao_1
7.480370500,0.777000010,1.415367007,condicao_1
7.888155900,0.819000006,1.502333045,condicao_1
8.280581900,0.860000014,1.516238332,condicao_1
8.752258000,0.901000023,1.579314470,condicao_1
9.207306300,0.941999972,1.650005221,condicao_1
9.576788000,0.982999980,1.665897608,condicao_1
10.052756300,1.024000049,1.710651398,condicao_1
10.506536300,1.065000057,1.775853395,condicao_1
10.913027100,1.106999993,1.840814233,condicao_1
11.179333300,1.149000049,1.866626143,condicao_1
11.456728000,1.190000057,1.912218332,condicao_1
11.882477900,1.231999993,1.974166393,condicao_1
12.234363700,1.274000049,2.009888411,condicao_1
12.567269300,1.315000057,2.073893070,condicao_1
13.048972600,1.355000019,2.106481314,condicao_1
13.510245200,1.396000028,2.184824228,condicao_1
13.976158300,1.437999964,2.230977058,condicao_1
14.429627200,1.478999972,2.273262262,condicao_1
14.878422700,1.519999981,2.343014002,condicao_1
15.304692000,1.560999990,2.389904737,condicao_1
15.754256100,1.601999998,2.437675714,condicao_1
16.220626700,1.643000007,2.482196808,condicao_1
16.558147500,1.684000015,2.530694008,condicao_1
16.984057900,1.725999951,2.554596663,condicao_1
17.465949300,1.766999960,2.640072346,condicao_1
17.909518000,1.807999969,2.673140764,condicao_1
18.340686200,1.848999977,2.730516911,condicao_1
18.811431300,1.889999986,2.783553123,condicao_1
19.238271900,1.930999994,2.835229397,condicao_1
19.681059100,1.973000050,2.848118305,condicao_1
20.077808700,2.013000011,2.933516026,condicao_1
20.521141400,2.055000067,2.982987165,condicao_1
20.977372600,2.095999956,3.011088371,condicao_1
21.392703900,2.135999918,3.051295996,condicao_1
21.893832200,2.177000046,3.131705284,condicao_1
22.320713600,2.217999935,3.159944057,condicao_1
22.774295600,2.259000063,3.211586475,condicao_1
23.211692000,2.299999952,3.245792866,condicao_1
23.651852500,2.341000080,3.294143438,condicao_1
24.105420000,2.381999969,3.372716188,condicao_1
24.582088000,2.423000097,3.396985769,condicao_1
25.032695400,2.463999987,3.447106361,condicao_1
25.476372900,2.505000114,3.490021229,condicao_1
25.919551800,2.545000076,3.543751717,condicao_1
26.381986200,2.585999966,3.607046604,condicao_1
26.864740500,2.627000093,3.643268347,condicao_1
27.300729400,2.667999983,3.702445745,condicao_1
27.751522100,2.709000111,3.759389162,condicao_1
28.183206100,2.750000000,3.817823172,condicao_1
28.616015500,2.790999889,3.845625401,condicao_1
29.081337200,2.832000017,3.898599625,condicao_1
29.539936000,2.872999907,3.934328794,condicao_1
30.008968400,2.914000034,3.999207497,condicao_1
30.429626100,2.954999924,4.028409481,condicao_1
30.879947300,2.994999886,4.081485748,condicao_1
31.336302000,3.036000013,4.149575233,condicao_1
31.785699900,3.078000069,4.186738014,condicao_1
32.234150200,3.118999958,4.244919777,condicao_1
32.676430800,3.158999920,4.284147263,condicao_1
33.113459400,3.200000048,4.339018345,condicao_1
33.556357300,3.240999937,4.405146599,condicao_1
34.028800700,3.282000065,4.424942017,condicao_1
34.481161200,3.322999954,4.488037109,condicao_1
