# Dados do modulador AM - ECOM060 / Cap.5.3 - UFAL 2026.2
# s_am = (1+ma*m)*Ac*cos(2pi*fc*t) + ruido ; ma=0.50 fc=2000Hz sigma=0.020
"# Colunas: t[s], mensagem, portadora, sinal_am"
t,mensagem,portadora,sinal_am
0.000000,0.000000,1.000000,0.955575
0.000010,0.004461,0.992115,0.994848
0.000020,0.008922,0.968583,0.962125
0.000030,0.013383,0.929776,0.913414
0.000040,0.017843,0.876307,0.835287
0.000050,0.022302,0.809017,0.833346
0.000060,0.026761,0.728969,0.723528
0.000070,0.031219,0.637424,0.652714
0.000080,0.035676,0.535827,0.559420
0.000090,0.040131,0.425779,0.440165
0.000100,0.044586,0.309017,0.311944
0.000110,0.049038,0.187381,0.205151
0.000120,0.053489,0.062791,0.074869
0.000130,0.057939,-0.062791,-0.052629
0.000140,0.062386,-0.187381,-0.226258
0.000150,0.066831,-0.309017,-0.327192
0.000160,0.071274,-0.425779,-0.454499
0.000170,0.075715,-0.535827,-0.497392
0.000180,0.080153,-0.637424,-0.676262
0.000190,0.084589,-0.728969,-0.734651
0.000200,0.089021,-0.809017,-0.878649
0.000210,0.093451,-0.876307,-0.925244
0.000220,0.097877,-0.929776,-1.003933
0.000230,0.102300,-0.968583,-1.014267
0.000240,0.106720,-0.992115,-1.008787
0.000250,0.111136,-1.000000,-1.073402
0.000260,0.115548,-0.992115,-1.033642
0.000270,0.119957,-0.968583,-1.011189
0.000280,0.124361,-0.929776,-0.974785
0.000290,0.128761,-0.876307,-0.937250
0.000300,0.133157,-0.809017,-0.865982
0.000310,0.137548,-0.728969,-0.776388
0.000320,0.141935,-0.637424,-0.678518
0.000330,0.146317,-0.535827,-0.571895
0.000340,0.150694,-0.425779,-0.442281
0.000350,0.155066,-0.309017,-0.335504
0.000360,0.159433,-0.187381,-0.191385
0.000370,0.163795,-0.062791,-0.061846
0.000380,0.168151,0.062791,0.045635
0.000390,0.172501,0.187381,0.185229
0.000400,0.176846,0.309017,0.347688
0.000410,0.181184,0.425779,0.474040
0.000420,0.185517,0.535827,0.607177
0.000430,0.189843,0.637424,0.653230
0.000440,0.194163,0.728969,0.812013
0.000450,0.198477,0.809017,0.841053
0.000460,0.202784,0.876307,0.964033
0.000470,0.207084,0.929776,0.976435
0.000480,0.211377,0.968583,1.097917
0.000490,0.215663,0.992115,1.081920
0.000500,0.219941,1.000000,1.153462
0.000510,0.224213,0.992115,1.107541
0.000520,0.228477,0.968583,1.096098
0.000530,0.232733,0.929776,1.049441
0.000540,0.236982,0.876307,1.016093
0.000550,0.241222,0.809017,0.906001
0.000560,0.245455,0.728969,0.795599
0.000570,0.249679,0.637424,0.693282
0.000580,0.253895,0.535827,0.585505
0.000590,0.258103,0.425779,0.481780
0.000600,0.262302,0.309017,0.356558
0.000610,0.266492,0.187381,0.207160
0.000620,0.270673,0.062791,0.074393
0.000630,0.274845,-0.062791,-0.040360
0.000640,0.279008,-0.187381,-0.248898
0.000650,0.283162,-0.309017,-0.363796
0.000660,0.287307,-0.425779,-0.466419
0.000670,0.291441,-0.535827,-0.635229
0.000680,0.295567,-0.637424,-0.710869
0.000690,0.299682,-0.728969,-0.846694
0.000700,0.303787,-0.809017,-0.943600
0.000710,0.307882,-0.876307,-1.015078
0.000720,0.311967,-0.929776,-1.071351
0.000730,0.316042,-0.968583,-1.128466
0.000740,0.320106,-0.992115,-1.120509
0.000750,0.324160,-1.000000,-1.169288
0.000760,0.328203,-0.992115,-1.130986
0.000770,0.332234,-0.968583,-1.107487
0.000780,0.336255,-0.929776,-1.090123
0.000790,0.340265,-0.876307,-0.997452
0.000800,0.344264,-0.809017,-0.911329
0.000810,0.348251,-0.728969,-0.842714
0.000820,0.352226,-0.637424,-0.731876
0.000830,0.356190,-0.535827,-0.665917
0.000840,0.360142,-0.425779,-0.490260
0.000850,0.364083,-0.309017,-0.342629
0.000860,0.368011,-0.187381,-0.184631
0.000870,0.371927,-0.062791,-0.082867
0.000880,0.375831,0.062791,0.079443
0.000890,0.379722,0.187381,0.247630
0.000900,0.383601,0.309017,0.355056
0.000910,0.387467,0.425779,0.521604
0.000920,0.391321,0.535827,0.582715
0.000930,0.395162,0.637424,0.775947
0.000940,0.398989,0.728969,0.842207
0.000950,0.402804,0.809017,0.939072
0.000960,0.406605,0.876307,1.048214
0.000970,0.410393,0.929776,1.110669
0.000980,0.414168,0.968583,1.169150
0.000990,0.417929,0.992115,1.148890
0.001000,0.421676,1.000000,1.189291
0.001010,0.425409,0.992115,1.239679
0.001020,0.429129,0.968583,1.176338
0.001030,0.432834,0.929776,1.109778
0.001040,0.436526,0.876307,1.081901
0.001050,0.440203,0.809017,0.982448
0.001060,0.443866,0.728969,0.906498
0.001070,0.447514,0.637424,0.773190
0.001080,0.451147,0.535827,0.694824
0.001090,0.454766,0.425779,0.526513
0.001100,0.458370,0.309017,0.386828
0.001110,0.461960,0.187381,0.194254
0.001120,0.465534,0.062791,0.058465
0.001130,0.469093,-0.062791,-0.056521
0.001140,0.472637,-0.187381,-0.248591
0.001150,0.476165,-0.309017,-0.363540
0.001160,0.479678,-0.425779,-0.562684
0.001170,0.483176,-0.535827,-0.667710
0.001180,0.486657,-0.637424,-0.775472
0.001190,0.490124,-0.728969,-0.905830
0.001200,0.493574,-0.809017,-1.016466
0.001210,0.497008,-0.876307,-1.076441
0.001220,0.500426,-0.929776,-1.126726
0.001230,0.503828,-0.968583,-1.203110
0.001240,0.507214,-0.992115,-1.212430
0.001250,0.510584,-1.000000,-1.235435
0.001260,0.513937,-0.992115,-1.258195
0.001270,0.517273,-0.968583,-1.213793
0.001280,0.520593,-0.929776,-1.141763
0.001290,0.523896,-0.876307,-1.129874
0.001300,0.527182,-0.809017,-1.045449
0.001310,0.530452,-0.728969,-0.933750
0.001320,0.533704,-0.637424,-0.854201
0.001330,0.536939,-0.535827,-0.683053
0.001340,0.540158,-0.425779,-0.525315
0.001350,0.543358,-0.309017,-0.391511
0.001360,0.546542,-0.187381,-0.270794
0.001370,0.549708,-0.062791,-0.125124
0.001380,0.552856,0.062791,0.084483
0.001390,0.555987,0.187381,0.253475
0.001400,0.559101,0.309017,0.418967
0.001410,0.562196,0.425779,0.539909
0.001420,0.565274,0.535827,0.652057
0.001430,0.568333,0.637424,0.822363
0.001440,0.571375,0.728969,0.919279
0.001450,0.574398,0.809017,1.006222
0.001460,0.577404,0.876307,1.152580
0.001470,0.580391,0.929776,1.164112
0.001480,0.583359,0.968583,1.269154
0.001490,0.586310,0.992115,1.261034
0.001500,0.589241,1.000000,1.302134
0.001510,0.592155,0.992115,1.298493
0.001520,0.595049,0.968583,1.270130
0.001530,0.597925,0.929776,1.196829
0.001540,0.600782,0.876307,1.153976
0.001550,0.603620,0.809017,1.017762
0.001560,0.606440,0.728969,0.907935
0.001570,0.609240,0.637424,0.810825
0.001580,0.612021,0.535827,0.711380
0.001590,0.614783,0.425779,0.564011
0.001600,0.617526,0.309017,0.409598
0.001610,0.620250,0.187381,0.251965
0.001620,0.622954,0.062791,0.061704
0.001630,0.625639,-0.062791,-0.070531
0.001640,0.628305,-0.187381,-0.267234
0.001650,0.630951,-0.309017,-0.434284
0.001660,0.633577,-0.425779,-0.556223
0.001670,0.636184,-0.535827,-0.723840
0.001680,0.638771,-0.637424,-0.870878
0.001690,0.641338,-0.728969,-0.967412
0.001700,0.643886,-0.809017,-1.058800
0.001710,0.646413,-0.876307,-1.166187
0.001720,0.648921,-0.929776,-1.251549
0.001730,0.651409,-0.968583,-1.285569
0.001740,0.653876,-0.992115,-1.291261
0.001750,0.656324,-1.000000,-1.346508
0.001760,0.658751,-0.992115,-1.311891
0.001770,0.661159,-0.968583,-1.305138
0.001780,0.663546,-0.929776,-1.245536
0.001790,0.665913,-0.876307,-1.155721
0.001800,0.668259,-0.809017,-1.087068
0.001810,0.670585,-0.728969,-0.966753
0.001820,0.672891,-0.637424,-0.853356
0.001830,0.675176,-0.535827,-0.716201
0.001840,0.677441,-0.425779,-0.558641
0.001850,0.679685,-0.309017,-0.383485
0.001860,0.681909,-0.187381,-0.279238
0.001870,0.684112,-0.062791,-0.102450
0.001880,0.686294,0.062791,0.090729
0.001890,0.688456,0.187381,0.313072
0.001900,0.690597,0.309017,0.428339
0.001910,0.692717,0.425779,0.609166
0.001920,0.694816,0.535827,0.693600
