Time,Subsystem1.i_in,Subsystem1.i_read
0.0,0.0010001727,0.001
1e-04,0.0010005503,0.001
0.0002,0.001000246,0.001
0.0003,0.0010004807,0.001
0.0004,0.0010002743,0.001
0.0005,0.001000957,0.001
0.0006,0.001000324,0.001
0.0007,0.0009999954,0.000999
0.0008,0.0010006111,0.001
0.0009,0.0010005574,0.001
0.001,0.0010004707,0.001
0.0011,0.0009999608,0.000999
0.0012,0.0010010567,0.001001
0.0013,0.0010001528,0.001
0.0014,0.0010000865,0.001
0.0015,0.0010004764,0.001
0.0016,0.0010004587,0.001
0.0017,0.0010002629,0.001
0.0018,0.0010007584,0.001
0.0019,0.0010008712,0.001
0.002,0.0010006338,0.001
0.0021,0.0010006169,0.001
0.0022,0.0010002902,0.001
0.0023,0.0010008614,0.001
0.0024,0.0010003621,0.001
0.0025,0.001000164,0.001
0.0026,0.0010008364,0.001
0.0027,0.0010004841,0.001
0.0028,0.0010008495,0.001
0.0029,0.0010006767,0.001
0.003,0.0010003985,0.001
0.0031,0.001000685,0.001
0.0032,0.0010001187,0.001
0.0033,0.00100097,0.001
0.0034,0.0010006592,0.001
0.0035,0.0010001886,0.001
0.0036,0.0010000626,0.001
0.0037,0.0010009138,0.001
0.0038,0.001000629,0.001
0.0039,0.0010004333,0.001
0.004,0.0010007283,0.001
0.0041,0.0010007658,0.001
0.0042,0.0010002628,0.001
0.0043,0.0010007963,0.001
0.0044,0.0010006739,0.001
0.0045,0.0010003939,0.001
0.0046,0.0010005746,0.001
0.0047,0.0010002224,0.001
0.0048,0.0010002141,0.001
0.0049,0.001000337,0.001
0.005,0.0010004895,0.001
0.0051,0.001000548,0.001
0.0052,0.001000589,0.001
0.0053,0.0009999311,0.000999
0.0054,0.0010002679,0.001
0.0055,0.0010001077,0.001
0.0056,0.0010008438,0.001
0.0057,0.0010008501,0.001
0.0058,0.0010009594,0.001
0.0059,0.0010010222,0.001001
0.006,0.0010002838,0.001
0.0061,0.0010004342,0.001
0.0062,0.0009996538,0.000999
0.0063,0.0010003225,0.001
0.0064,0.0010007742,0.001
0.0065,0.001000587,0.001
0.0066,0.0010006914,0.001
0.0067,0.0010002698,0.001
0.0068,0.0010000245,0.001
0.0069,0.0010001257,0.001
0.007,0.0010005201,0.001
0.0071,0.0010009139,0.001
0.0072,0.0010009323,0.001
0.0073,0.0010007849,0.001
0.0074,0.001000172,0.001
0.0075,0.0010007028,0.001
0.0076,0.0010004891,0.001
0.0077,0.0010004401,0.001
0.0078,0.0010000466,0.001
0.0079,0.0010003041,0.001
0.008,0.0010005368,0.001
0.0081,0.0010000075,0.001
0.0082,0.001000423,0.001
0.0083,0.0010007604,0.001
0.0084,0.0010005883,0.001
0.0085,0.0010002861,0.001
0.0086,0.0010001025,0.001
0.0087,0.0010008182,0.001
0.0088,0.0009999876,0.000999
0.0089,0.0010005182,0.001
0.009,0.0010015107,0.001001
0.0091,0.001000887,0.001
0.0092,0.0010002943,0.001
0.0093,0.0010005909,0.001
0.0094,0.0010000359,0.001
0.0095,0.0009998952,0.000999
0.0096,0.0010008315,0.001
0.0097,0.0009999659,0.000999
0.0098,0.0010008253,0.001
0.0099,0.0010002971,0.001
0.01,0.0010009714,0.001
0.0101,0.0010002865,0.001
0.0102,0.0010004101,0.001
0.0103,0.001000322,0.001
0.0104,0.0010007404,0.001
0.0105,0.0010004663,0.001
0.0106,0.0010003538,0.001
0.0107,0.0010000514,0.001
0.0108,0.001000414,0.001
0.0109,0.0010007155,0.001
0.011,0.0010004485,0.001
0.0111,0.0010008336,0.001
0.0112,0.0010006311,0.001
0.0113,0.0010003967,0.001
0.0114,0.0010007428,0.001
0.0115,0.0010006111,0.001
0.0116,0.0009997474,0.000999
0.0117,0.0009997142,0.000999
0.0118,0.0010006399,0.001
0.0119,0.0010010333,0.001001
0.012,0.0010006577,0.001
0.0121,0.0010005384,0.001
0.0122,0.0010001935,0.001
0.0123,0.001001007,0.001001
0.0124,0.001000616,0.001
0.0125,0.0010004165,0.001
0.0126,0.0010002228,0.001
0.0127,0.0010010103,0.001001
0.0128,0.0010004783,0.001
0.0129,0.0010006557,0.001
0.013,0.0010008353,0.001
0.0131,0.0010007295,0.001
0.0132,0.0010006791,0.001
0.0133,0.0010001436,0.001
0.0134,0.0010004372,0.001
0.0135,0.0010003721,0.001
0.0136,0.0010004692,0.001
0.0137,0.0010004388,0.001
0.0138,0.0010002081,0.001
0.0139,0.0010002217,0.001
0.014,0.0009998272,0.000999
0.0141,0.0010001236,0.001
0.0142,0.0010004833,0.001
0.0143,0.0010004861,0.001
0.0144,0.0010004807,0.001
0.0145,0.0010010496,0.001001
0.0146,0.0010003588,0.001
0.0147,0.00100047,0.001
0.0148,0.0010006584,0.001
0.0149,0.001000266,0.001
