Amostra,Tempo_s,x_referencia_rpm,e_dev_rpm,y_instrumento_rpm
1,0.0,4000.0,4.5876,4004.5876
2,0.001,4000.0,-1.2552,3998.7448
3,0.002,4000.0,5.9768,4005.9768
4,0.003,4000.0,14.0313,4014.0313
5,0.004,4000.0,-2.1375,3997.8625
6,0.005,4000.0,-2.1373,3997.8627
7,0.006,4000.0,14.5483,4014.5483
8,0.007,4000.0,7.0787,4007.0787
9,0.008,4000.0,-4.3028,3995.6972
10,0.009,4000.0,5.0095,4005.0095
11,0.01,4000.0,-4.2471,3995.7529
12,0.011,4000.0,-4.2683,3995.7317
13,0.012,4000.0,2.2435,4002.2435
14,0.013,4000.0,-17.588,3982.412
15,0.014,4000.0,-15.8548,3984.1452
16,0.015,4000.0,-5.1568,3994.8432
17,0.016,4000.0,-9.3025,3990.6975
18,0.017,4000.0,2.9086,4002.9086
19,0.018,4000.0,-8.3381,3991.6619
20,0.019,4000.0,-12.9783,3987.0217
21,0.02,4000.0,13.5033,4013.5033
22,0.021,4000.0,-2.0604,3997.9396
23,0.022,4000.0,0.6384,4000.6384
24,0.023,4000.0,-13.0928,3986.9072
25,0.024,4000.0,-4.9921,3995.0079
26,0.025,4000.0,1.0377,4001.0377
27,0.026,4000.0,-10.5738,3989.4262
28,0.027,4000.0,3.4741,4003.4741
29,0.028,4000.0,-5.5097,3994.4903
30,0.029,4000.0,-2.6669,3997.3331
31,0.03,4000.0,-5.5195,3994.4805
32,0.031,4000.0,17.0609,4017.0609
33,0.032,4000.0,-0.1071,3999.8929
34,0.033,4000.0,-9.7155,3990.2845
35,0.034,4000.0,7.5858,4007.5858
36,0.035,4000.0,-11.2166,3988.7834
37,0.036,4000.0,1.9389,4001.9389
38,0.037,4000.0,-18.0149,3981.9851
39,0.038,4000.0,-12.2043,3987.7957
40,0.039,4000.0,1.8285,4001.8285
41,0.04,4000.0,6.8121,4006.8121
42,0.041,4000.0,1.5939,4001.5939
43,0.042,4000.0,-1.0471,3998.9529
44,0.043,4000.0,-2.7535,3997.2465
45,0.044,4000.0,-13.5876,3986.4124
46,0.045,4000.0,-6.6066,3993.3934
47,0.046,4000.0,-4.2215,3995.7785
48,0.047,4000.0,9.7442,4009.7442
49,0.048,4000.0,3.1789,4003.1789
50,0.049,4000.0,-16.2056,3983.7944
51,0.05,4000.0,2.9991,4002.9991
52,0.051,4000.0,-3.5263,3996.4737
53,0.052,4000.0,-6.2116,3993.7884
54,0.053,4000.0,5.6454,4005.6454
55,0.054,4000.0,9.5039,4009.5039
56,0.055,4000.0,8.5863,4008.5863
57,0.056,4000.0,-7.705,3992.295
58,0.057,4000.0,-2.8281,3997.1719
59,0.058,4000.0,3.0652,4003.0652
60,0.059,4000.0,8.9936,4008.9936
61,0.06,4000.0,-4.3921,3995.6079
