t_s,theta_ref_graus,I_loop_mA,V_RL_V
0,0,3.99361022,0.998402556
0.001,0.36,3.99521279,0.998803197
0.002,0.72,3.99681535,0.999203838
0.003,1.08,3.99841792,0.999604479
0.004,1.44,4.00002048,1.00000512
0.005,1.8,4.00162304,1.00040576
0.006,2.16,4.00322561,1.0008064
0.007,2.52,4.00482817,1.00120704
0.008,2.88,4.00643074,1.00160768
0.009,3.24,4.0080333,1.00200833
0.01,3.6,4.00963586,1.00240897
0.011,3.96,4.01123843,1.00280961
0.012,4.32,4.01284099,1.00321025
0.013,4.68,4.01444356,1.00361089
0.014,5.04,4.01604612,1.00401153
0.015,5.4,4.01764869,1.00441217
0.016,5.76,4.01925125,1.00481281
0.017,6.12,4.02085381,1.00521345
0.018,6.48,4.02245638,1.00561409
0.019,6.84,4.02405894,1.00601474
0.02,7.2,4.02566151,1.00641538
0.021,7.56,4.02726407,1.00681602
0.022,7.92,4.02886663,1.00721666
0.023,8.28,4.0304692,1.0076173
0.024,8.64,4.03207176,1.00801794
0.025,9,4.03367433,1.00841858
0.026,9.36,4.03527689,1.00881922
0.027,9.72,4.03687945,1.00921986
0.028,10.08,4.03848202,1.0096205
0.029,10.44,4.04008458,1.01002115
0.03,10.8,4.04168715,1.01042179
0.031,11.16,4.04328971,1.01082243
0.032,11.52,4.04489227,1.01122307
0.033,11.88,4.04649484,1.01162371
0.034,12.24,4.0480974,1.01202435
0.035,12.6,4.04969997,1.01242499
0.036,12.96,4.05130253,1.01282563
0.037,13.32,4.0529051,1.01322627
0.038,13.68,4.05450766,1.01362691
0.039,14.04,4.05611022,1.01402756
0.04,14.4,4.05771279,1.0144282
0.041,14.76,4.05931535,1.01482884
0.042,15.12,4.06091792,1.01522948
0.043,15.48,4.06252048,1.01563012
0.044,15.84,4.06412304,1.01603076
0.045,16.2,4.06572561,1.0164314
0.046,16.56,4.06732817,1.01683204
0.047,16.92,4.06893074,1.01723268
0.048,17.28,4.0705333,1.01763333
0.049,17.64,4.07213586,1.01803397
0.05,18,4.07373843,1.01843461
0.051,18.36,4.07534099,1.01883525
0.052,18.72,4.07694356,1.01923589
0.053,19.08,4.07854612,1.01963653
0.054,19.44,4.08014869,1.02003717
0.055,19.8,4.08175125,1.02043781
0.056,20.16,4.08335381,1.02083845
0.057,20.52,4.08495638,1.02123909
0.058,20.88,4.08655894,1.02163974
0.059,21.24,4.08816151,1.02204038
0.06,21.6,4.08976407,1.02244102
0.061,21.96,4.09136663,1.02284166
0.062,22.32,4.0929692,1.0232423
0.063,22.68,4.09457176,1.02364294
0.064,23.04,4.09617433,1.02404358
0.065,23.4,4.09777689,1.02444422
0.066,23.76,4.09937945,1.02484486
0.067,24.12,4.10098202,1.0252455
0.068,24.48,4.10258458,1.02564615
0.069,24.84,4.10418715,1.02604679
0.07,25.2,4.10578971,1.02644743
0.071,25.56,4.10739227,1.02684807
0.072,25.92,4.10899484,1.02724871
0.073,26.28,4.1105974,1.02764935
0.074,26.64,4.11219997,1.02804999
0.075,27,4.11380253,1.02845063
0.076,27.36,4.1154051,1.02885127
0.077,27.72,4.11700766,1.02925191
0.078,28.08,4.11861022,1.02965256
0.079,28.44,4.12021279,1.0300532
0.08,28.8,4.12181535,1.03045384
0.081,29.16,4.12341792,1.03085448
0.082,29.52,4.12502048,1.03125512
0.083,29.88,4.12662304,1.03165576
0.084,30.24,4.12822561,1.0320564
0.085,30.6,4.12982817,1.03245704
0.086,30.96,4.13143074,1.03285768
0.087,31.32,4.1330333,1.03325833
0.088,31.68,4.13463586,1.03365897
0.089,32.04,4.13623843,1.03405961
0.09,32.4,4.13784099,1.03446025
0.091,32.76,4.13944356,1.03486089
0.092,33.12,4.14104612,1.03526153
0.093,33.48,4.14264869,1.03566217
0.094,33.84,4.14425125,1.03606281
0.095,34.2,4.14585381,1.03646345
0.096,34.56,4.14745638,1.03686409
0.097,34.92,4.14905894,1.03726474
